Grid,Column,Row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj
3,A,1,-0.99756405,33,33.79756098,10.10853659
3,B,1,0.469471563,26,28.72725111,10.61342614
3,C,1,-0.984807753,28,30.65694125,11.51831569
3,D,1,-0.978147601,31,40.15329805,11.12320525
3,E,1,-0.766044443,28,39.84965486,10.7280948
3,F,1,-0.788010754,22,35.74601166,10.83298435
3,G,1,-0.5,33,46.87570179,11.03787391
3,H,1,-0.104528463,31,40.9720586,11.04276346
3,A,2,-0.529919264,28,30.50174873,10.74765301
3,B,2,0.034899497,34,35.43143887,11.05254257
3,C,2,-0.139173101,27,36.82779567,10.95743212
3,D,2,-0.173648178,30,36.89081914,10.26232168
3,E,2,-1.84E-16,29,40.78717595,10.36721123
3,F,2,-0.7193398,28,30.48353275,10.37210078
3,G,2,-0.882947593,20,39.44655622,10.17699034
3,H,2,-0.766044443,25,33.90957969,10.38187989
3,A,3,-0.374606593,27,29.63926983,10.58676944
3,B,3,-0.615661475,37,46.83562663,10.291659
3,C,3,0.994521895,37,45.36531677,10.49654855
3,D,3,0.5,34,43.86167357,10.1014381
3,E,3,0.961261696,23,46.49136371,9.706327658
3,F,3,-0.978147601,29,49.12105384,10.31121721
3,G,3,-0.5,29,42.38407731,9.916106765
3,H,3,-0.882947593,21,42.54710078,10.52099632
3,A,4,-0.5,30,31.24345759,10.62588587
3,B,4,-0.587785252,37,34.67314772,9.730775426
3,C,4,-0.743144825,32,32.40283786,10.33566498
3,D,4,-0.587785252,49,33.532528,10.04055453
3,E,4,-0.766044443,44,33.69555146,11.24544409
3,F,4,-0.961261696,34,42.19190827,11.15033364
3,G,4,-0.984807753,38,40.05493174,10.85522319
3,H,4,-0.978147601,35,30.58462187,10.56011275
3,A,5,-0.669130606,47,43.51431201,11.9650023
3,B,5,-0.951056516,30,47.94400215,12.06989185
3,C,5,-0.951056516,27,36.00702562,12.17478141
3,D,5,-0.882947593,30,28.10338242,12.07967096
3,E,5,-0.898794046,36,38.56640589,12.08456052
3,F,5,-0.951056516,31,34.62942936,12.18945007
3,G,5,-1,27,34.9591195,11.79433962
3,H,5,-0.309016994,28,37.08880963,11.39922918
3,A,6,-0.207911691,42,31.98516644,11.80411873
3,B,6,-0.559192903,37,40.98152324,11.90900828
3,C,6,0.069756474,33,38.91121338,11.41389784
3,D,6,-0.139173101,34,39.84090351,11.41878739
3,E,6,-0.5,30,30.53726032,11.52367694
3,F,6,-0.139173101,26,42.30028379,11.6285665
3,G,6,-0.406736643,32,39.69664059,12.23345605
3,H,6,0.173648178,27,40.15966406,11.73834561
3,A,7,-0.342020143,36,30.6893542,11.34323516
3,B,7,-0.342020143,40,32.81904433,11.44812471
3,C,7,-0.5,38,37.04873447,11.65301427
3,D,7,-0.882947593,25,33.77842461,11.25790382
3,E,7,-0.882947593,28,39.20811474,11.26279337
3,F,7,-0.951056516,26,38.53780488,11.56768293
3,G,7,-0.939692621,37,34.40082835,11.37257248
3,H,7,-0.848048096,32,44.23051848,11.47746203
3,A,8,-0.5,21,35.39354195,11.58235159
3,B,8,-0.406736643,30,43.42323209,11.98724114
