Grid,Column,Row,Afroaster erucifolius,Alepidea natalensis,Alepidea setifera,Alepidea thodei,New alternate anthospermum,Anthospermum herbaceum,Anthospermum hispidulum,Anthospermum round,Anthoxanthum ecklonii,Arctotis arctoides,Argyrolobium marginatum,Athrixia fontana,Berkheya multijuga,Bulbostylis humulis,Bupleurum mundii,Carex killickii,Carex zuluensis,Cerastium arabidis,Commelina orchid,Corycium dracomontanum,Cotula hispida,Crassula lanceolata,Crassula natans,Crassula peploides,Crassula setulosa,Crassula tuberella,Craterocapsa tarsodes,Delosperma obtusum,Disa cephalotes,Disa fragrans,Dragon plant,Erica woodii,Erica woody white stem,Eumorphia prostrata,Felicia rosulata,Festuca caprina,Festuca costata,Festuca scabra,Ficinia stolonifera,Gazania krebsiana,Geranium multisectum,Geum capense,Glumicalyx lesuticus,Glumicalyx nutans,Glumicaylx flanaganii,Gnidia baurii,Grey daisy,Grey feathery daisy,Heichrysum trilineatum,Helichrysum albo-brunneum,Helichrysum bellum,Helichrysum flanaganii,Helichrysum gold flat inflorescence,Helichrysum linneatum,Helichrysum monticola,Helichrysum sessiloides,Helichrysum sp.1,Helichrysum subglomeratum,Hesperantha baurii,Hirpicium armerioides,Irid sandpaper,Isolepis sp.,Kniphofia ritualis,Limosella vesiculosa,Lobelia preslii,Long stalk 3 vein,Luzula africana,Merxmuellera drakensbergensis,Morph irid,Ornithogalum cf. juncifolium ,Oxalis obliquifolia,Pentameris airoides,Poa binata,Psammotropha mucronata,Purple bottom aster,Red stem herb,Romulea thodei,Ruschia sp.,Satyrium longicauda,Scabiosa columbaria,Sebaea sedoides,Senecio achilleifolius,Senecio asperulus,Senecio gramineus,Senecio harveianus,Senecio hastatus,Senecio macrocephalus,Senecio midvein,Senecio Sp1.,Senecio speciosus,Square-leaf morea,Succulent albuca,Succulent thistle,Tenaxia disticha,Thesium sp.,Ursinia montana,Wirey morea,Woody gazania,Wurmbea burttii,Zaluzianskya Sp.1
6,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,15,0.5,,,,,0.5,0.5,,,,0.5,,,1,,,,,,,,,,,,,
6,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,40,,3,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,3,,,0.5,,3,,,,,,,0.5,,,,0.5,,,5,,,,,,,1,0.5,,,,,
6,C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.5,3,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5,,0.5,,1,,,,,,,0.5,,,,0.5,,,1,,,,,,,,,,,,,
6,D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,5,,2,,0.5,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,2,,,0.5,,1,0.5,,,,,,0.5,,,,0.5,,,3,,,,,,,,,,,,,
6,E,1,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,4,0.5,30,,2,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,20,,,0.5,,1,,,,,,,0.5,,,,,,,5,,,,,,,,,,,,,
6,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.5,,1,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
6,G,1,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,0.5,0.5,,1,,,,,,,0.5,,,,,,,3,,,,,,,,,,,,,
6,H,1,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,45,,1,,0.5,,,,,,,,,,,,,,,,,,2,,,,,,,,,0.5,0.5,,0.5,0.5,,2,,,,,,,2,,,,0.5,,,3,,,,,,,4,,,,,,
6,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,40,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,3,,,,,,,,,,,0.5,,,1,,,,,,,,,,,,,
6,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,2,,40,,5,,0.5,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,,0.5,1,,,0.5,,30,,,,0.5,,,2,,,,0.5,,,2,,,,,,,,,,,,,
