Grid,Row,Column,Afroaster.erucifolius,Alepidea.natalensis,Alepidea.setifera,Alepidea.thodei,New.alternate.anthospermum,Anthospermum.hispidulum,Anthospermum.round,Anthoxanthum.ecklonii,Arctotis.arctoides,Argyrolobium.marginatum,Athrixia.fontana,Berkheya.multijuga,Bulbostylis.humulis,Bupleurum.mundii,Carex.killickii,Carex.zuluensis,Cerastium.arabidis,Commelina.orchid,Corycium.dracomontanum,Cotula.hispida,Crassula.lanceolata,Crassula.natans,Crassula.peploides,Crassula.setulosa,Crassula.tuberella,Craterocapsa.tarsodes,Delosperma.obtusum,Disa.cephalotes,Disa.fragrans,Dragon.plant,Erica.woodii,Erica.woody.white.stem,Eumorphia.prostrata,Felicia.rosulata,Festuca.caprina,Festuca.costata,Festuca.scabra,Ficinia.stolonifera,Gazania.krebsiana,Geranium.multisectum,Geum.capense,Glumicalyx.lesuticus,Glumicalyx.nutans,Glumicaylx.flanaganii,Gnidia.baurii,Grey.daisy,Grey.feathery.daisy,Heichrysum.trilineatum,Helichrysum.albo.brunneum,Helichrysum.bellum,Helichrysum.flanaganii,Helichrysum.gold.flat.inflorescence,Helichrysum.linneatum,Helichrysum.monticola,Helichrysum.sessiloides,Helichrysum.sp.1,Helichrysum.subglomeratum,Hesperantha.baurii,Hirpicium.armerioides,Irid.sandpaper,Isolepis.sp.,Kniphofia.ritualis,Limosella.vesiculosa,Lobelia.preslii,Long.stalk.3.vein,Luzula.africana,Merxmuellera.drakensbergensis,Morph.irid,Ornithogalum.cf..juncifolium,Oxalis.obliquifolia,Pentameris.airoides,Poa.binata,Psammotropha.mucronata,Purple.bottom.aster,Red.stem.herb,Romulea.thodei,Ruschia.sp.,Satyrium.longicauda,Scabiosa.columbaria,Sebaea.sedoides,Senecio.achilleifolius,Senecio.asperulus,Senecio.gramineus,Senecio.harveianus,Senecio.hastatus,Senecio.macrocephalus,Senecio.midvein,Senecio.Sp1.,Senecio.speciosus,Square.leaf.morea,Succulent.albuca,Succulent.thistle,Tenaxia.disticha,Thesium.sp.,Ursinia.montana,Wirey.morea,Woody.gazania,Wurmbea.burttii,Zaluzianskya.Sp.1
G6,12,F,0.5,0,0,0,0,0,0,0,0,0,0.5,15,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
G6,12,G,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
G4,8,B,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,30,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
G4,8,A,0.5,0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.5,0.5,1,0.5,0,0,0.5,0,0.5,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
G4,9,A,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,15,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0
G4,11,B,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,2,30,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
G1,1,E,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,8,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,3,0,0,0,0
G1,1,F,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,3,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,10,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,3,0,5,0,0,0,0
G1,1,G,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,15,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,1,1,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,4,0,5,0,0,0,0
G1,1,H,0.5,0,0.5,0,2,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,10,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,1,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0
