"Cell_ID","Aristida_adscensionis","Bulbostylis_sp._2","Cyperus_obtusiflorus","Erica_alopecurus","Senecio_cora_2_","Erica_leucopelta","Kohortia_","Miscanthus_capensis","Nidorella_","Heliochrysum_ten","Athrixia_gerrardii","Cyperus_sp._2_tiny","Delosperma_sp._A_.cf_D._lavisiae.","Euphorbia_sp._2","Helichrysum_cymosum","Koeleria_capensis","Pellaea_calomelanos","Scilla_natalensis","Selaginella_sp._A_.cf_caffrorum.","Andropogon_filiformes","Polygala_amatymbica","purple_seedling_","Isolepis_angelica","Sutera_white_.grid_3_4.","Crassula_sarmentosa","Ledebouria_sp._1_","Vernonia_sp.1","Eragrostis_plana","Schizoglossum_cf_bidens","Digitaria_sanguinium","Ajuga_ophrydis","Aloe_veracunda","Anthospermum_herbaceum","Anthospermum_sp_1","Apocynaceae_sp._A_.Asclepias_stellifera.","Aristea_sp.","Aristida_junciformis","Athrixia_sp._1","Barleria_monticola","Bulbostylis_humilis","Cerastium_sp.","Cheilanthes_quadripinnata","Commelina_africana","Crassula_lanceolata","Cymbopogon_dieterlenii","Cyperus_rupestris","Cyperus_semitrifidus","Digitaria_monodactyla","Elionurus_muticus","Eragrostis_capensis","Eragrostis_curvula","Eragrostis_racemosum","Eriospermum_.large.","Eriospermum_.small._pustule","Euphorbia_striata","Felicia_filifolia_._thecium_in_grid_3.","Felicia_muricata","Ficinia_cinamonas","Gazania_sp.1","Gerbera","Graminoids","Hairy_grass","Harpochloa_falx","Helichrysum_caliconum","Helichrysum_nudifolium","Helichrysum_piloselllum","Helichrysum_subglomeratum","Hermania_cococarpa","Heteropogon_sp.","Melinis_nerviglumis","Microchloa_sp.","Monsonia_attenuata","Morea_stricta","Oxalis","Paired_leaf_seedling_","Polygala_hottentotta","Pycreus","Rendlea_alt","Scilla_nervosa","Searsia_discolor","Selago_galpini","Senecio_dissimulans","Senecio_glaberrimus","Senecio_romboides","Senecio_subrubiforus","Silene_burchellia","Themeda_triandra","Thesium_","Tristachya_leucothrix","Tulbaghia_acutiloba","Ursinia_sp.1","Wahlenbergia_alb","Watsonia_","Xerophyta_viscosa","rosette_flat","Helichrysum_album","Helichrysum_annomalum","Helichrysum_aureonitens","Orchid_.Satyrium.","Crassula_dependance","Trachyandra_asperata","Sutera_sp._2_.pink."
"1_A_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_B_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_C_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_D_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_E_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_F_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_G_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_H_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_A_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1_B_2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
