"Species","AUC"
"Aristida_adscensionis",0.514154432684648
"Bulbostylis_sp._2",0.594922623938647
"Cyperus_obtusiflorus",0.332052625451158
"Erica_alopecurus",0.286413172234068
"Senecio_cora_2_",0.373418367346939
"Erica_leucopelta",0.726870269908245
"Kohortia_",0.268760195758564
"Miscanthus_capensis",0.608312883435583
"Nidorella_",0.841561333814855
"Heliochrysum_ten",0.322882736156352
"Athrixia_gerrardii",0.503149386845039
"Cyperus_sp._2_tiny",0.614881439084219
"Delosperma_sp._A_.cf_D._lavisiae.",0.643624616263297
"Euphorbia_sp._2",0.711021621156
"Helichrysum_cymosum",0.576441917140536
"Koeleria_capensis",0.424045491470349
"Pellaea_calomelanos",0.561886672997784
"Scilla_natalensis",0.592115280043502
"Selaginella_sp._A_.cf_caffrorum.",0.733783047151812
"Andropogon_filiformes",0.642310694769711
"Polygala_amatymbica",0.807972488494495
"purple_seedling_",0.354874086108855
"Isolepis_angelica",0.586244541484716
"Sutera_white_.grid_3_4.",0.493015534953646
"Crassula_sarmentosa",0.743768204813736
"Ledebouria_sp._1_",0.763092105263158
"Vernonia_sp.1",0.368969746524939
"Eragrostis_plana",0.68436729663106
"Schizoglossum_cf_bidens",0.339155158407799
"Digitaria_sanguinium",0.541704566126978
"Ajuga_ophrydis",0.591099408894727
"Aloe_veracunda",0.487048250672818
"Anthospermum_herbaceum",0.614239215127726
"Anthospermum_sp_1",0.577420102875453
"Apocynaceae_sp._A_.Asclepias_stellifera.",0.499358641882358
"Aristea_sp.",0.504498641627155
"Aristida_junciformis",0.550285902965948
"Athrixia_sp._1",0.586607462278247
"Barleria_monticola",0.524955971360235
"Bulbostylis_humilis",0.504056088838698
"Cerastium_sp.",0.542918159272527
"Cheilanthes_quadripinnata",0.567096997576297
"Commelina_africana",0.551308684122945
"Crassula_lanceolata",0.50784484989648
"Cymbopogon_dieterlenii",0.569050218340611
"Cyperus_rupestris",0.683404940923738
"Cyperus_semitrifidus",0.613862071085967
"Digitaria_monodactyla",0.552153063221765
"Elionurus_muticus",0.646047336507902
"Eragrostis_capensis",0.585654659805603
"Eragrostis_curvula",0.574673390970221
"Eragrostis_racemosum",0.587068965517241
"Eriospermum_.large.",0.666405662741168
"Eriospermum_.small._pustule",0.744765818858561
"Euphorbia_striata",0.572985750672818
"Felicia_filifolia_._thecium_in_grid_3.",0.737716180999763
"Felicia_muricata",0.576360965047943
"Ficinia_cinamonas",0.584600976274265
"Gazania_sp.1",0.704514556381081
"Gerbera",0.696397363176453
"Graminoids",0.447867990654206
"Hairy_grass",0.617230628698519
"Harpochloa_falx",0.612570902958761
"Helichrysum_caliconum",0.632954597940049
"Helichrysum_nudifolium",0.588429103560421
"Helichrysum_piloselllum",0.555801625222335
"Helichrysum_subglomeratum",0.627249984745866
"Hermania_cococarpa",0.689012096774194
"Heteropogon_sp.",0.60397541369489
"Melinis_nerviglumis",0.526037808602827
"Microchloa_sp.",0.523206266839637
"Monsonia_attenuata",0.724406413814369
"Morea_stricta",0.454445473489234
"Oxalis",0.584768290253499
"Paired_leaf_seedling_",0.581511574428944
"Polygala_hottentotta",0.519020245179834
"Pycreus",0.596092110137054
"Rendlea_alt",0.550191326530612
"Scilla_nervosa",0.797346662389964
"Searsia_discolor",0.538722377273524
"Selago_galpini",0.695401337792642
"Senecio_dissimulans",0.538102989050015
"Senecio_glaberrimus",0.621127309082877
"Senecio_romboides",0.670755256260108
"Senecio_subrubiforus",0.592414716497846
"Silene_burchellia",0.507959001436503
"Themeda_triandra",0.608128024980484
"Thesium_",0.644429849252518
"Tristachya_leucothrix",0.662981179355939
"Tulbaghia_acutiloba",0.544320646815224
"Ursinia_sp.1",0.586857949761176
"Wahlenbergia_alb",0.661547042769776
"Watsonia_",0.663256745651281
"Xerophyta_viscosa",0.672224924152945
"rosette_flat",0.637670068027211
"Helichrysum_album",0.563324634486336
"Helichrysum_annomalum",0.558587864676072
"Helichrysum_aureonitens",0.499223642227038
"Orchid_.Satyrium.",0.618371212121212
"Crassula_dependance",0.651951573291137
"Trachyandra_asperata",0.52140104596752
"Sutera_sp._2_.pink.",0.693572321149641
