grid ,column,row,Andropogon_appendiculatus,Andropogon_filiformes,Aristida_adscensionis,Aristida_diffusa,Aristida_junciformis,Brachiaria_serrata,Cymbopogon_dieterlenii,Cymbopogon_sp._5,Digitaria_monodactyla,Digitaria_sanguinium,Eleusine_sp,Elionurus_muticus,Eragrostis_capensis,Eragrostis_curvula,Eragrostis_plana,Eragrostis_racemosum,Graminoids,Hairy_grass,Harpochloa_falx,Heteropogon_sp.,Melinis_nerviglumis,Microchloa_sp.,Miscanthus_capensis,Paired_digitate_,Rendlea_alt,Sporobolus_centrifugus,Themeda_triandra,Trachypogon_spicatus,Tristachya_leucothrix,Adromischus,Ajuga_ophrydis,Aloe_veracunda,Anthospermum_A_(cf_rigidum_subsp_pumilum),Anthospermum_basuticus,Anthospermum_herbaceum,Anthospermum_sp_1,Apocynaceae_sp._A_(Asclepias_stellifera),Apocynaceae_sp._B_(rounder_leaves),Argyrolobium_so._1_(Fabaceae_1),Argyrolobium_sp._1,Argyrolobium_tormentosa,Aristea_sp.,Asclepea_a,Aster_perfoliatus,Athrixia_gerrardii,Athrixia_roemanensis,Athrixia_sp._1,Barleria_monticola,Bulbostylis_humilis,Bulbostylis_sp._2,c.f._gerbera_sp.,Carex,Cerastium_sp.,cf._Clutia,Cheilanthes_herbaceum,Cheilanthes_hista,Cheilanthes_quadripinnata,Commelina_africana,Cotula_socialis,Crass_sp._C,Crassula_cf._setulosa,Crassula_dependance,Crassula_lanceolata,Crassula_purple,Crassula_sarmentosa,Craterocapsa_tarsodes,Cycnium_racemosum,Cyperus_rupestris,Cyperus_semitrifidus,Cyperus_sp._10,Cyperus_sp._2_tiny,Cyperus_sp._3,Cyperus_obtusiflorus,Cyphia_elata,Delosperma_sp._A_(cf_D._lavisiae),Dianthus_basuticus,Dierama_argyreum,Dimorphotheca,Diospyros_austro-africana_var._rubiflora,Drosera_sp,Epilobium_sp,Erica_alopecurus,Erica_caespitosa,Erica_leucopelta,Eriospermum_(large),Eriospermum_(small)_pustule,Eucomis_sp._1,Euphorbia_sp._2,Euphorbia_striata,Felicia_fascicularis,Felicia_filifolia_(_thecium_in_grid_3),Felicia_muricata,Felicia_per,Ficinia_cinamonas,Gazania_sp.1,Gazania_SP._2,Gerbera,Glabrous_hairy,Gladiolus_cf._permeabilis_(one_stalked_wonder),Gladiolus_permiabilis,Green/red_sp,Helichrysum_tall,Helichrysum_album,Helichrysum_annomalum,Helichrysum_aureonitens,Helichrysum_caliconum,Helichrysum_chionosphaerum,Helichrysum_closed,Helichrysum_cymosum,Helichrysum_piloselllum,Helichrysum_nudifolium,Helichrysum_pallidium,Helichrysum_subglomeratum,Helichrysum_trichome,Heliochrysum_ten,Heliophila_cf_suavissima,Hermania_cococarpa,Hesperantha_c.f_baurii,Hibiscus_trionum,Hypoxis_rigidula_(sp._1),Hypoxis_sp._2,Iris_sp._1_(pink_flower),Isolepis_angelica,Koeleria_capensis,Kohortia_,Ledebouria_sp._1_,Lessertia_,Lotonotus_laxa,Mohria_sp._(fern),Monsonia_attenuata,Morea_stricta,Nemesia_sp.,Nidorella_,Ophioglossum_sp.,Orchid_(flat_leafed),Orchid_(Ralph),Orchid_(Satyrium),Orchid_sp._10,Ornithagalum_opillare_(Drimia),Oxalis,paired_glaberous,Paired_leaf_seedling_,Passerina_montana,Pellaea_calomelanos,Polygala_amatymbica,Polygala_hottentotta,Psamotropha_mucronata,Pseudognaphalium,purple_based_rosette,purple_seedling_,Pycreus,Red_adaxial_leaf,Restio_?_,rosette_flat,rosette_glabrous,Rumex_woodii,Sabea_sp.,Scaberosa,Schizoglossum_cf_bidens,Schoenoxiphium_sp.,Scilla_natalensis,Scilla_nervosa,Scirpus_sp.,Searsia_discolor,Sedge_2_?_,Selaginella_sp._A_(cf_caffrorum),Selago_galpini,Selago_sp._2_,Selago_sp._3,Senecio_cora_1,Senecio_cora_2_,Senecio_dissimulans,Senecio_glaberrimus,Senecio_leather_,Senecio_romboides,Senecio_sp._,Senecio_sp._25,Senecio_subrubiforus,Senecio_tall_green/grey_,Silene_burchellia,Striga_(pink)_(cf_elegans),Sutera_white_(grid_3_4),Sutera_sp._2_(pink),Tagetes_minuta,Thesium_,thin_white_hairy_,Tolpis_capensis,Trachyandra_asperata,Trachyandra_sp_3_(Tulbaghia_-_stacked),Trachyandra_sp._2,Tulbaghia_-_grass_hybrid_?,Tulbaghia_acutiloba,Unknown_Paired_Geophyte,Unknown_sp._15_,Unknown_sp._16,Unknown_sp._2_,Ursinia_sp.1,Vernonia_sp.1,Wahlenbergia_alb,Wahlenbergia_sp._4,Watsonia_,Xerophyta_viscosa
1,A,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,15,0,10,0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,15,0,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,7,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,25,0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,F,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,G,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,H,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,15,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,A,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,1,0,0,15,0,15,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,20,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
