grid,column,row,Richness,Mesotopo,Slop_proc,Fluv_proc,Soil_text,Bio_crust,Burrows,Bioturbation,Aspect,Northness,Eastness,Soil_dept_mean,Vege_heig_max,Slope_angle,pH,soil_carbon,Soil_moist_4_final,Soil_temp_4_adj,,,,,,,,,,,,,,,,,,
1,A,1,13,2,0,3,1,0,0,0,40,0.77,0.64,47.67,26,0.4,4.66,6.74,26.05806466,14.28611111,,,,,,,,,,,,,,,,,,
1,B,1,14,2,0,3,1,0,0,0,20,0.94,0.34,48.67,26,2.9,4.54,6.078571429,23.46625015,14.97503472,,,,,,,,,,,,,,,,,,
1,C,1,11,1,0,3,1,0,0,4,20,0.94,0.34,61,27,2.5,4.42,5.417142857,30.47443564,15.96395833,,,,,,,,,,,,,,,,,,
1,D,1,11,1,0,2,1,0,0,0,20,0.94,0.34,61,23,2.9,4.3,4.755714286,35.88262114,15.85288194,,,,,,,,,,,,,,,,,,
1,E,1,10,1,0,2,1,0,0,2,20,0.94,0.34,51.67,25,2,4.4825,4.094285714,34.09080663,15.74180556,,,,,,,,,,,,,,,,,,
1,F,1,11,1,0,1,2,0,0,15,20,0.94,0.34,61,32,2.5,4.665,3.432857143,26.09899212,15.63072917,,,,,,,,,,,,,,,,,,
1,G,1,17,2,0,1,2,0,0,1,20,0.94,0.34,61,22,2.5,4.8475,2.771428571,25.10717761,15.71965278,,,,,,,,,,,,,,,,,,
1,H,1,13,2,0,0,1,0,1,2,35,0.82,0.57,61,33,4.5,5.03,2.11,26.7153631,15.30857639,,,,,,,,,,,,,,,,,,
1,A,2,18,2,0,2,1,0,0,0,20,0.94,0.34,61,23,2.5,4.651666667,6,29.52354859,15.7975,,,,,,,,,,,,,,,,,,
1,B,2,14,2,0,2,1,0,0,0,10,0.98,0.17,61,20,1.2,4.663333333,5.5,23.63173408,16.18642361,,,,,,,,,,,,,,,,,,
1,C,2,12,2,0,2,2,0,0,0,15,0.97,0.26,55.33,26,2,4.543333333,5,31.43991958,15.97534722,,,,,,,,,,,,,,,,,,
1,D,2,16,2,0,2,2,0,0,0,10,0.98,0.17,61,22,2.9,4.423333333,4.338571429,29.44810507,15.36427083,,,,,,,,,,,,,,,,,,
1,E,2,15,2,0,0,2,0,0,2,5,1,0.09,61,32,3.7,4.400833333,3.677142857,23.65629056,15.15319444,,,,,,,,,,,,,,,,,,
1,F,2,10,2,0,0,2,0,0,6,15,0.97,0.26,61,26,4.9,4.583333333,3.015714286,23.96447605,15.14211806,,,,,,,,,,,,,,,,,,
1,G,2,16,2,0,0,2,0,0,0,20,0.94,0.34,61,33,6.9,4.765833333,2.471666667,23.87266154,15.63104167,,,,,,,,,,,,,,,,,,
1,H,2,10,2,0,0,2,0,0,0,25,0.91,0.42,61,19,4.5,4.948333333,2.045,27.48084703,14.91996528,,,,,,,,,,,,,,,,,,
1,A,3,16,2,0,0,2,0,0,0,30,0.87,0.5,61,30,1.6,4.643333333,5.26,23.68903252,15.60888889,,,,,,,,,,,,,,,,,,
1,B,3,12,2,0,0,2,0,0,0,35,0.82,0.57,61,21,2.5,4.786666667,4.76,18.79721802,15.0978125,,,,,,,,,,,,,,,,,,
1,C,3,15,2,0,0,2,0,0,0,40,0.77,0.64,61,26,2.9,4.666666667,4.26,19.80540351,15.78673611,,,,,,,,,,,,,,,,,,
1,D,3,15,2,0,0,2,0,0,0,35,0.82,0.57,61,24,2.5,4.546666667,3.76,25.713589,15.27565972,,,,,,,,,,,,,,,,,,
1,E,3,14,2,0,0,2,0,0,0,25,0.91,0.42,61,27,4.9,4.421666667,3.26,28.72177449,15.36458333,,,,,,,,,,,,,,,,,,
1,F,3,17,2,0,0,2,0,0,0,20,0.94,0.34,61,31,4.5,4.501666667,2.833333333,25.52995998,15.65350694,,,,,,,,,,,,,,,,,,
1,G,3,12,2,0,0,2,0,0,0,20,0.94,0.34,61,33,4.1,4.684166667,2.406666667,20.33814547,15.84243056,,,,,,,,,,,,,,,,,,
1,H,3,12,2,0,0,2,0,0,5,35,0.82,0.57,61,25,6.1,4.866666667,1.98,26.94633096,15.33135417,,,,,,,,,,,,,,,,,,
1,A,4,15,2,0,0,2,0,0,0,35,0.82,0.57,61,26,3.7,4.635,4.52,26.05451646,15.82027778,,,,,,,,,,,,,,,,,,
1,B,4,15,2,0,0,2,0,0,0,30,0.87,0.5,61,35,3.7,4.778333333,4.02,25.26270195,15.90920139,,,,,,,,,,,,,,,,,,
1,C,4,12,2,0,0,2,0,0,0,25,0.91,0.42,61,24,6.1,4.79,3.52,27.07088744,15.898125,,,,,,,,,,,,,,,,,,
1,D,4,16,2,0,0,2,0,0,0,30,0.87,0.5,61,28,5.7,4.67,3.02,27.47907293,15.48704861,,,,,,,,,,,,,,,,,,
1,E,4,11,2,0,0,2,0,0,0,25,0.91,0.42,61,31,3.7,4.545,2.92,26.48725842,15.87597222,,,,,,,,,,,,,,,,,,
1,F,4,16,2,0,0,2,0,0,0,45,0.71,0.71,51.33,26,6.5,4.42,2.768333333,20.39544391,15.16489583,,,,,,,,,,,,,,,,,,
1,G,4,12,2,0,0,3,0,0,5,40,0.77,0.64,61,22,4.9,4.6025,2.341666667,20.4036294,15.05381944,,,,,,,,,,,,,,,,,,
1,H,4,12,2,0,0,2,0,0,15,20,0.94,0.34,61,23,6.5,4.785,1.915,35.3118149,15.54274306,,,,,,,,,,,,,,,,,,
1,A,5,10,2,0,0,3,0,0,0,25,0.91,0.42,61,28,2.9,4.626666667,3.78,24.02000039,15.23166667,,,,,,,,,,,,,,,,,,
1,B,5,13,2,0,0,2,0,0,0,15,0.97,0.26,61,20,5.3,4.77,3.28,19.92818588,14.72059028,,,,,,,,,,,,,,,,,,
1,C,5,18,2,0,0,2,0,0,0,20,0.94,0.34,61,26,4.5,4.913333333,2.78,20.43637137,15.40951389,,,,,,,,,,,,,,,,,,
1,D,5,16,2,0,0,2,0,0,0,25,0.91,0.42,61,22,4.9,4.793333333,2.48,21.84455686,15.7984375,,,,,,,,,,,,,,,,,,
1,E,5,16,2,0,0,2,0,0,8,25,0.91,0.42,61,25,5.7,4.668333333,2.58,24.35274235,15.68736111,,,,,,,,,,,,,,,,,,
1,F,5,13,3,0,0,2,0,0,4,30,0.87,0.5,61,27,5.3,4.543333333,2.703333333,20.16092784,15.47628472,,,,,,,,,,,,,,,,,,
1,G,5,10,3,0,0,1,0,0,20,30,0.87,0.5,61,20,6.9,4.520833333,2.276666667,17.96911334,15.36520833,,,,,,,,,,,,,,,,,,
1,H,5,14,3,0,0,2,0,0,12,35,0.82,0.57,61,20,6.5,4.703333333,1.85,14.27729883,15.25413194,,,,,,,,,,,,,,,,,,
1,A,6,11,3,0,0,2,0,0,5,35,0.82,0.57,61,24,4.9,4.618333333,3.04,21.78548432,15.84305556,,,,,,,,,,,,,,,,,,
1,B,6,13,3,0,0,2,0,0,0,40,0.77,0.64,61,24,3.3,4.761666667,2.54,22.29366981,15.73197917,,,,,,,,,,,,,,,,,,
1,C,6,18,3,0,0,2,0,0,0,35,0.82,0.57,61,22,3.7,4.905,2.04,22.3018553,14.92090278,,,,,,,,,,,,,,,,,,
1,D,6,13,2,0,0,2,0,0,0,30,0.87,0.5,61,20,4.5,4.916666667,2.14,25.21004079,15.20982639,,,,,,,,,,,,,,,,,,
1,E,6,14,2,0,0,2,0,0,6,30,0.87,0.5,52.33,20,4.9,4.791666667,2.24,22.61822628,15.19875,,,,,,,,,,,,,,,,,,
1,F,6,13,3,0,0,2,0,0,5,35,0.82,0.57,55.67,22,4.5,4.666666667,2.363333333,19.82641178,15.38767361,,,,,,,,,,,,,,,,,,
1,G,6,14,3,0,0,1,0,0,10,30,0.87,0.5,44.67,21,5.3,4.541666667,2.211666667,20.53459727,14.97659722,,,,,,,,,,,,,,,,,,
1,H,6,19,3,0,0,1,0,0,20,25,0.91,0.42,42.33,21,6.5,4.621666667,1.785,11.04278276,15.16552083,,,,,,,,,,,,,,,,,,
1,A,7,13,3,0,0,2,0,0,3,30,0.87,0.5,51,25,4.5,4.61,2.3,25.65096825,15.75444444,,,,,,,,,,,,,,,,,,
1,B,7,14,3,0,0,2,0,0,2,35,0.82,0.57,48,23,4.9,4.753333333,1.8,26.75915374,15.64336806,,,,,,,,,,,,,,,,,,
1,C,7,15,2,0,0,2,0,0,0,35,0.82,0.57,42.33,22,5.3,4.896666667,1.7,25.46733923,15.43229167,,,,,,,,,,,,,,,,,,
1,D,7,10,2,0,0,2,0,0,0,15,0.97,0.26,29,19,5.7,5.04,1.8,20.27552472,15.52121528,,,,,,,,,,,,,,,,,,
1,E,7,13,2,0,0,2,0,0,0,20,0.94,0.34,24.67,18,6.1,4.915,1.9,21.38371022,15.31013889,,,,,,,,,,,,,,,,,,
1,F,7,14,3,0,0,3,0,0,0,25,0.91,0.42,24.67,22,5.7,4.79,2.023333333,17.99189571,15.1990625,,,,,,,,,,,,,,,,,,
1,G,7,15,3,0,0,3,0,0,4,40,0.77,0.64,23.67,25,6.5,4.665,2.146666667,16.8000812,15.28798611,,,,,,,,,,,,,,,,,,
1,H,7,16,3,0,0,2,0,0,7,30,0.87,0.5,20.33,21,4.9,4.54,1.72,17.20826669,14.87690972,,,,,,,,,,,,,,,,,,
1,A,8,14,2,0,0,3,0,0,2,20,0.94,0.34,15.67,29,3.3,4.51,1.56,35.21645218,15.16583333,,,,,,,,,,,,,,,,,,
1,B,8,15,1,0,2,3,0,0,0,15,0.97,0.26,7,20,2.9,4.653333333,1.26,28.62463767,14.75475694,,,,,,,,,,,,,,,,,,
1,C,8,11,1,0,3,3,25,0,0,20,0.94,0.34,7.33,15,1.2,4.7725,1.36,28.83282316,14.74368056,,,,,,,,,,,,,,,,,,
1,D,8,10,1,1,2,4,10,0,0,20,0.94,0.34,7.33,19,4.5,4.8675,1.46,NA,NA,,,,,,,,,,,,,,,,,,
1,E,8,8,2,1,1,3,5,0,0,350,0.98,-0.17,13,12,10.9,4.82625,1.56,22.44919415,15.12152778,,,,,,,,,,,,,,,,,,
1,F,8,15,3,1,0,2,0,0,0,10,0.98,0.17,18.33,24,9.7,4.785,1.683333333,19.15737964,15.41045139,,,,,,,,,,,,,,,,,,
1,G,8,16,3,1,0,2,0,0,0,30,0.87,0.5,16.33,21,7.7,4.66,1.806666667,19.36556513,15.899375,,,,,,,,,,,,,,,,,,
1,H,8,19,3,1,0,3,0,0,10,25,0.91,0.42,13,17,6.5,4.535,1.655,23.27375062,15.58829861,,,,,,,,,,,,,,,,,,
1,A,9,12,1,0,1,2,2,0,0,0,1,0,11,10,4.9,4.41,0.82,37.08193611,15.97722222,,,,,,,,,,,,,,,,,,
1,B,9,9,1,0,3,3,15,0,0,0,1,0,3,14,2.5,4.505,0.92,40.2901216,15.36614583,,,,,,,,,,,,,,,,,,
1,C,9,2,1,0,3,6,0,0,0,0,1,0,1,2,5.7,4.6,1.02,NA,NA,,,,,,,,,,,,,,,,,,
1,D,9,3,2,0,1,4,3,0,0,5,1,0.09,10,9,12.5,4.695,1.12,34.40649259,14.74399306,,,,,,,,,,,,,,,,,,
1,E,9,11,3,0,1,3,4,0,0,350,0.98,-0.17,9.67,14,16.3,4.65375,1.22,27.61467808,15.03291667,,,,,,,,,,,,,,,,,,
1,F,9,15,2,1,1,2,0,0,0,5,1,0.09,6,27,8.5,4.6125,1.343333333,24.12286357,15.82184028,,,,,,,,,,,,,,,,,,
1,G,9,15,2,1,1,2,0,1,0,10,0.98,0.17,7.33,29,5.7,4.57125,1.466666667,24.13104906,15.51076389,,,,,,,,,,,,,,,,,,
1,H,9,12,2,1,2,2,0,0,0,5,1,0.09,7.67,13,6.5,4.53,1.59,29.13923455,15.2996875,,,,,,,,,,,,,,,,,,
1,A,10,15,3,2,0,3,0,0,0,55,0.57,0.82,20,20,10.1,4.464,0.961818182,33.84742004,15.68861111,,,,,,,,,,,,,,,,,,
1,B,10,10,3,3,1,3,5,1,0,75,0.26,0.97,21,23,16.3,4.408,1.17,37.95560554,15.07753472,,,,,,,,,,,,,,,,,,
1,C,10,10,4,3,3,3,20,1,0,80,0.17,0.98,13.67,11,15.9,4.4275,1.27,31.26379103,14.86645833,,,,,,,,,,,,,,,,,,
1,D,10,8,4,3,3,3,40,0,0,80,0.17,0.98,10,7,16.3,4.5225,1.37,30.57197652,14.75538194,,,,,,,,,,,,,,,,,,
1,E,10,6,3,3,1,3,7,0,0,75,0.26,0.97,6.67,8,6.5,4.48125,1.475833333,27.78016201,14.54430556,,,,,,,,,,,,,,,,,,
1,F,10,10,2,1,1,3,0,1,0,75,0.26,0.97,7.67,17,7.3,4.44,1.599166667,23.5883475,14.23322917,,,,,,,,,,,,,,,,,,
1,G,10,10,4,2,1,2,0,2,0,80,0.17,0.98,11,20,13.3,4.475,1.7225,24.49653299,14.12215278,,,,,,,,,,,,,,,,,,
1,H,10,10,4,3,1,2,0,0,3,80,0.17,0.98,10.33,17,14.8,4.51,1.863636364,22.30471848,13.91107639,,,,,,,,,,,,,,,,,,
1,A,11,14,1,1,2,2,4,0,0,355,1,-0.09,11,19,8.5,4.518,1.103636364,34.21290398,15.9,,,,,,,,,,,,,,,,,,
1,B,11,14,1,1,3,3,15,1,0,355,1,-0.09,9.67,19,6.5,4.462,1.347878788,36.02108947,15.68892361,,,,,,,,,,,,,,,,,,
1,C,11,7,2,0,3,4,30,0,0,0,1,0,4.33,12,6.5,4.406,1.52,30.52927496,14.77784722,,,,,,,,,,,,,,,,,,
1,D,11,3,2,0,3,6,6,0,0,75,0.26,0.97,3.67,6,6.1,4.35,1.62,22.83746045,14.26677083,,,,,,,,,,,,,,,,,,
1,E,11,6,2,0,2,4,5,0,1,65,0.42,0.91,2.67,3,12.5,4.385,1.731666667,15.84564594,13.65569444,,,,,,,,,,,,,,,,,,
1,F,11,8,4,1,0,3,0,2,2,40,0.77,0.64,8.33,12,16.3,4.42,1.855,18.35383143,14.04461806,,,,,,,,,,,,,,,,,,
1,G,11,12,5,1,0,2,0,2,7,65,0.42,0.91,28,15,13.7,4.455,1.996136364,16.56201692,14.53354167,,,,,,,,,,,,,,,,,,
1,H,11,13,5,3,0,3,0,2,12,85,0.09,1,16.33,18,10.1,4.49,2.137272727,16.27020241,14.92246528,,,,,,,,,,,,,,,,,,
1,A,12,10,2,0,2,6,10,0,0,60,0.5,0.87,4.33,21,14.4,4.572,1.245454545,29.87838791,14.01138889,,,,,,,,,,,,,,,,,,
1,B,12,10,3,0,1,5,15,0,0,65,0.42,0.91,6.33,21,13.7,4.516,1.48969697,37.3865734,14.2003125,,,,,,,,,,,,,,,,,,
1,C,12,4,3,0,2,6,8,0,0,70,0.34,0.94,3,17,8.5,4.46,1.733939394,NA,NA,,,,,,,,,,,,,,,,,,
1,D,12,0,3,0,1,6,0,0,0,80,0.17,0.98,0,0,8.9,4.383333333,1.87,NA,NA,,,,,,,,,,,,,,,,,,
1,E,12,6,4,1,1,5,4,0,0,80,0.17,0.98,2.67,33,13.3,4.391666667,1.9875,NA,NA,,,,,,,,,,,,,,,,,,
1,F,12,11,5,3,0,3,0,1,0,45,0.71,0.71,16.67,22,15.2,4.4,2.128636364,17.51931536,15.15600694,,,,,,,,,,,,,,,,,,
1,G,12,11,5,3,0,3,0,0,0,75,0.26,0.97,22,15,10.5,4.435,2.269772727,15.52750085,15.14493056,,,,,,,,,,,,,,,,,,
1,H,12,15,5,3,0,3,0,0,10,85,0.09,1,11,24,7.7,4.47,2.410909091,17.03568635,14.73385417,,,,,,,,,,,,,,,,,,
1,A,13,15,4,1,0,5,1,0,0,80,0.17,0.98,10.33,21,15.2,4.626,1.387272727,24.84387184,15.02277778,,,,,,,,,,,,,,,,,,
1,B,13,15,4,2,0,2,20,0,0,85,0.09,1,9,29,13.7,4.57,1.631515152,31.45205733,15.21170139,,,,,,,,,,,,,,,,,,
1,C,13,14,3,2,0,3,5,0,0,90,0,1,7.33,21,17.4,4.493333333,1.875757576,32.26024282,14.700625,,,,,,,,,,,,,,,,,,
1,D,13,19,3,3,0,3,6,0,0,90,0,1,9.33,18,18.6,4.416666667,2.12,21.26842831,14.78954861,,,,,,,,,,,,,,,,,,
1,E,13,17,4,3,0,5,2,0,0,85,0.09,1,9.67,55,18.2,4.425,2.261136364,19.3766138,14.27847222,,,,,,,,,,,,,,,,,,
1,F,13,15,5,2,0,2,3,0,0,75,0.26,0.97,21.33,45,10.5,4.433333333,2.402272727,21.98479929,15.36739583,,,,,,,,,,,,,,,,,,
1,G,13,16,5,2,0,3,2,1,5,75,0.26,0.97,17.33,24,8.5,4.441666667,2.543409091,20.99298479,14.45631944,,,,,,,,,,,,,,,,,,
1,H,13,13,5,2,0,3,0,1,0,75,0.26,0.97,9.67,31,7.3,4.45,2.684545455,28.40117028,15.44524306,,,,,,,,,,,,,,,,,,
1,A,14,12,5,1,0,3,0,0,0,75,0.26,0.97,15,13,14,4.68,1.529090909,23.60935577,15.03416667,,,,,,,,,,,,,,,,,,
1,B,14,10,3,1,2,3,10,0,0,70,0.34,0.94,9.33,15,7.7,4.603333333,1.773333333,29.01754126,14.52309028,,,,,,,,,,,,,,,,,,
1,C,14,4,3,0,1,6,10,0,0,70,0.34,0.94,7.67,14,4.9,4.526666667,2.017575758,27.92572675,13.91201389,,,,,,,,,,,,,,,,,,
1,D,14,0,4,0,1,6,3,0,0,60,0.5,0.87,1,0,4.9,4.45,2.231428571,NA,NA,,,,,,,,,,,,,,,,,,
1,E,14,8,4,1,1,6,3,0,0,15,0.97,0.26,6.33,23,6.1,4.458333333,2.534772727,22.14209773,13.98986111,,,,,,,,,,,,,,,,,,
1,F,14,11,4,1,1,6,4,0,0,70,0.34,0.94,4.33,17,7.7,4.466666667,2.675909091,22.65028323,14.67878472,,,,,,,,,,,,,,,,,,
1,G,14,12,4,1,1,3,2,0,0,30,0.87,0.5,9.67,26,11.7,4.475,2.817045455,25.85846872,15.06770833,,,,,,,,,,,,,,,,,,
