grid,column,row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,1,0.77,26,26.05806466,14.28611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,1,0.94,26,23.46625015,14.97503472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,1,0.94,27,30.47443564,15.96395833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,1,0.94,23,35.88262114,15.85288194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,1,0.94,25,34.09080663,15.74180556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,1,0.94,32,26.09899212,15.63072917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,1,0.94,22,25.10717761,15.71965278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,1,0.82,33,26.7153631,15.30857639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,2,0.94,23,29.52354859,15.7975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,2,0.98,20,23.63173408,16.18642361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,2,0.97,26,31.43991958,15.97534722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,2,0.98,22,29.44810507,15.36427083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,2,1,32,23.65629056,15.15319444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,2,0.97,26,23.96447605,15.14211806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,2,0.94,33,23.87266154,15.63104167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,2,0.91,19,27.48084703,14.91996528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,3,0.87,30,23.68903252,15.60888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,3,0.82,21,18.79721802,15.0978125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,3,0.77,26,19.80540351,15.78673611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,3,0.82,24,25.713589,15.27565972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,3,0.91,27,28.72177449,15.36458333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,3,0.94,31,25.52995998,15.65350694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,3,0.94,33,20.33814547,15.84243056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,3,0.82,25,26.94633096,15.33135417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,4,0.82,26,26.05451646,15.82027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,4,0.87,35,25.26270195,15.90920139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,4,0.91,24,27.07088744,15.898125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,4,0.87,28,27.47907293,15.48704861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,4,0.91,31,26.48725842,15.87597222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,4,0.71,26,20.39544391,15.16489583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,4,0.77,22,20.4036294,15.05381944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,4,0.94,23,35.3118149,15.54274306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,5,0.91,28,24.02000039,15.23166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,5,0.97,20,19.92818588,14.72059028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,0.94,26,20.43637137,15.40951389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,5,0.91,22,21.84455686,15.7984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,5,0.91,25,24.35274235,15.68736111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,5,0.87,27,20.16092784,15.47628472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,5,0.87,20,17.96911334,15.36520833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,5,0.82,20,14.27729883,15.25413194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,6,0.82,24,21.78548432,15.84305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,6,0.77,24,22.29366981,15.73197917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,6,0.82,22,22.3018553,14.92090278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,6,0.87,20,25.21004079,15.20982639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,6,0.87,20,22.61822628,15.19875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,6,0.82,22,19.82641178,15.38767361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,6,0.87,21,20.53459727,14.97659722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,6,0.91,21,11.04278276,15.16552083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,7,0.87,25,25.65096825,15.75444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,7,0.82,23,26.75915374,15.64336806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,7,0.82,22,25.46733923,15.43229167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,7,0.97,19,20.27552472,15.52121528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,7,0.94,18,21.38371022,15.31013889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,7,0.91,22,17.99189571,15.1990625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,7,0.77,25,16.8000812,15.28798611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,7,0.87,21,17.20826669,14.87690972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,8,0.94,29,35.21645218,15.16583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,8,0.97,20,28.62463767,14.75475694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,8,0.94,15,28.83282316,14.74368056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,8,0.94,19,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,8,0.98,12,22.44919415,15.12152778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,8,0.98,24,19.15737964,15.41045139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,8,0.87,21,19.36556513,15.899375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,8,0.91,17,23.27375062,15.58829861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,9,1,10,37.08193611,15.97722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,9,1,14,40.2901216,15.36614583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,9,1,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,9,1,9,34.40649259,14.74399306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,9,0.98,14,27.61467808,15.03291667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,9,1,27,24.12286357,15.82184028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,9,0.98,29,24.13104906,15.51076389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,9,1,13,29.13923455,15.2996875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,10,0.57,20,33.84742004,15.68861111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,10,0.26,23,37.95560554,15.07753472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,10,0.17,11,31.26379103,14.86645833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,10,0.17,7,30.57197652,14.75538194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,10,0.26,8,27.78016201,14.54430556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,10,0.26,17,23.5883475,14.23322917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,10,0.17,20,24.49653299,14.12215278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,10,0.17,17,22.30471848,13.91107639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,11,1,19,34.21290398,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,11,1,19,36.02108947,15.68892361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,11,1,12,30.52927496,14.77784722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,11,0.26,6,22.83746045,14.26677083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,11,0.42,3,15.84564594,13.65569444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,11,0.77,12,18.35383143,14.04461806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
