Grid,Column,Row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj
1,H,20,-0.920504853,27,14.890875,15.87136628
1,G,20,-0.956304756,38,13.77568632,14.7791109
1,F,20,-0.906307787,31,18.66049764,14.98685553
1,E,20,-0.970295726,40,10.24530896,15.89460015
1,D,20,-0.965925826,25,8.330120283,15.60234478
1,C,20,-0.987688341,21,11.7149316,16.1100894
1,B,20,-0.906307787,34,11.09974292,15.81783403
1,A,20,-0.743144825,33,12.48455425,15.92557865
1,H,19,-0.874619707,29,12.69511557,15.36675351
1,G,19,-0.891006524,39,9.179926887,15.37449814
1,F,19,-0.848048096,26,10.46473821,15.38224276
1,E,19,-0.891006524,44,15.44954953,15.38998738
1,D,19,-0.898794046,28,13.73436085,16.49773201
1,C,19,-0.906307787,29,12.41917217,16.40547663
1,B,19,-0.848048096,20,11.00398349,15.61322126
1,A,19,-0.866025404,34,15.18879481,15.62096588
1,H,18,-0.906307787,32,12.79935613,15.46214074
1,G,18,-0.965925826,25,13.48416745,15.76988537
1,F,18,-0.961261696,26,10.66897877,14.97762999
1,E,18,-0.939692621,25,15.45379009,14.98537462
1,D,18,-0.920504853,32,11.13860142,15.49311924
1,C,18,-0.956304756,25,9.623412736,16.70086387
1,B,18,-0.838670568,27,9.508224057,15.80860849
1,A,18,-0.829037573,17,7.793035377,15.51635312
1,H,17,-0.69465837,33,12.5035967,16.55752797
1,G,17,-0.69465837,37,13.28840802,16.4652726
1,F,17,-0.848048096,25,13.77321934,15.57301722
1,E,17,-0.848048096,34,12.85803066,15.38076185
1,D,17,-0.891006524,29,9.342841981,15.28850647
1,C,17,-0.788010754,23,9.127653302,15.2962511
1,B,17,-0.848048096,28,12.11246462,16.30399572
1,A,17,-0.891006524,28,8.897275943,16.51174035
1,H,16,-0.906307787,24,12.60783726,16.3529152
1,G,16,-0.933580426,26,10.09264858,16.76065983
1,F,16,-0.920504853,26,12.77745991,15.46840445
1,E,16,-0.933580426,27,11.86227123,14.57614908
1,D,16,-0.965925826,33,14.84708255,14.0838937
1,C,16,-0.951056516,28,13.03189387,14.79163833
1,B,16,-0.819152044,28,15.21670519,14.89938295
1,A,16,-0.965925826,18,6.301516509,16.20712758
1,H,15,-0.656059029,29,11.31207783,16.84830244
1,G,15,-0.573576436,23,9.696889151,17.35604706
1,F,15,-0.819152044,26,15.58170047,14.66379168
1,E,15,-0.848048096,34,13.96651179,14.17153631
1,D,15,-0.882947593,25,10.85132311,14.87928093
1,C,15,-0.829037573,26,11.73613443,15.28702556
1,B,15,-0.906307787,25,10.62094575,16.79477018
1,A,15,-0.951056516,33,8.605757075,16.40251481
1,H,14,-0.69465837,16,12.6163184,17.64368967
1,G,14,-0.866025404,28,12.70112972,15.75143429
1,F,14,-0.920504853,30,18.28594104,14.65917892
1,E,14,-0.819152044,40,10.77075236,15.36692354
1,D,14,-0.882947593,24,12.25556368,15.37466817
1,C,14,-0.891006524,28,10.040375,15.48241279
1,B,14,-0.848048096,26,7.225186321,16.29015742
1,A,14,-0.951056516,24,9.809997642,15.69790204
1,H,13,-0.809016994,24,11.82055896,15.8390769
1,G,13,-0.766044443,25,20.00537028,14.84682152
1,F,13,-0.874619707,29,14.6901816,15.35456615
1,E,13,-0.913545458,36,13.07499292,15.86231077
1,D,13,-0.819152044,32,10.75980425,15.5700554
1,C,13,-0.777145961,25,12.54461557,15.37780002
1,B,13,-0.945518576,37,11.12942689,15.58554465
1,A,13,-0.984807753,23,19.11423821,15.19328927
1,H,12,-0.788010754,30,16.72479953,14.83446413
1,G,12,-0.866025404,26,11.50961085,14.64220875
1,F,12,-0.838670568,30,15.39442217,14.84995338
1,E,12,-0.809016994,40,10.77923349,15.357698
1,D,12,-0.838670568,23,13.66404481,15.96544263
1,C,12,-0.891006524,25,12.24885613,15.37318725
1,B,12,-0.766044443,32,11.03366745,15.78093188
1,A,12,-0.829037573,22,9.118478774,17.1886765
1,H,11,-0.829037573,39,17.32904009,14.32985136
1,G,11,-0.809016994,22,11.91385142,15.23759599
1,F,11,-0.777145961,20,9.698662736,15.84534061
1,E,11,-0.766044443,22,10.28347406,15.75308523
1,D,11,-0.707106781,46,13.06828538,15.76082986
1,C,11,-0.7193398,27,10.4530967,16.06857448
1,B,11,-0.866025404,20,11.13790802,16.07631911
1,A,11,-0.848048096,21,10.12271934,16.28406373
1,H,10,-0.838670568,30,17.53328066,15.02523859
1,G,10,-0.939692621,30,8.318091981,15.13298322
1,F,10,-0.866025404,40,9.502903302,15.24072784
1,E,10,-0.882947593,30,9.787714623,16.04847247
1,D,10,-0.829037573,32,12.27252594,15.95621709
1,C,10,-0.79863551,29,12.85733726,16.36396172
1,B,10,-0.933580426,24,12.54214858,15.67170634
1,A,10,-0.956304756,22,7.626959906,16.17945097
1,H,9,-0.933580426,26,14.63752123,15.22062582
1,G,9,-0.945518576,22,8.122332547,15.52837045
1,F,9,-0.920504853,27,9.707143868,15.83611507
1,E,9,-0.927183855,27,12.19195519,15.5438597
1,D,9,-0.945518576,38,9.876766509,17.15160432
1,C,9,-0.970295726,21,8.96157783,17.65934895
1,B,9,-0.984807753,34,12.84638915,17.96709357
1,A,9,-1,25,7.031200472,16.9748382
1,H,8,-0.970295726,30,12.94176179,16.31601305
1,G,8,-0.981627183,24,11.72657311,15.52375768
1,F,8,-0.933580426,24,9.211384434,16.7315023
1,E,8,-0.920504853,28,11.09619575,16.83924693
1,D,8,0.034899497,22,8.681007075,17.24699155
1,C,8,-0.087155743,29,11.0658184,17.45473618
1,B,8,-0.069756474,30,8.250629717,16.3624808
1,A,8,-0.342020143,26,12.93544104,17.17022543
1,H,7,-0.996194698,22,7.746002358,15.71140029
1,G,7,-0.974370065,25,6.930813679,16.01914491
1,F,7,-0.984807753,20,11.015625,16.32688953
